decade,page_contains_face,face_count_percentage,total_face_count,newspaper
1790,3,0.15789473684210525,3,GDL
1800,9,0.25,10,GDL
1810,2,0.07692307692307693,2,GDL
1820,1,0.03125,1,GDL
1830,2,0.05555555555555555,2,GDL
1840,0,0.0,0,GDL
1850,2,0.08333333333333333,2,GDL
1860,1,0.041666666666666664,1,GDL
1870,1,0.041666666666666664,1,GDL
1880,1,0.041666666666666664,1,GDL
1890,1,0.038461538461538464,1,GDL
1900,4,0.14285714285714285,4,GDL
1910,4,0.13333333333333333,4,GDL
1920,6,0.21428571428571427,8,GDL
1930,6,0.21428571428571427,8,GDL
1940,8,0.21052631578947367,10,GDL
1950,8,0.16666666666666666,8,GDL
1960,19,0.2111111111111111,25,GDL
1970,11,0.14102564102564102,14,GDL
1980,44,0.3235294117647059,60,GDL
1990,74,0.3557692307692308,115,GDL
