decade,page_contains_face,face_count_percentage,total_face_count,newspaper
1880,1,0.030303030303030304,1,IMP
1890,12,0.23076923076923078,17,IMP
1900,17,0.25,25,IMP
1910,17,0.3269230769230769,27,IMP
1920,29,0.453125,46,IMP
1930,19,0.35185185185185186,31,IMP
1940,16,0.2857142857142857,24,IMP
1950,47,0.5,105,IMP
1960,60,0.4166666666666667,175,IMP
1970,82,0.41,202,IMP
1980,106,0.5047619047619047,343,IMP
1990,97,0.4801980198019802,218,IMP
2000,153,0.7083333333333334,657,IMP
2010,146,0.776595744680851,699,IMP
