decade,page_contains_face,face_count_percentage,total_face_count,newspaper
1820,0,0.0,0,JDG
1830,1,0.018518518518518517,1,JDG
1840,1,0.02,1,JDG
1850,2,0.041666666666666664,2,JDG
1860,3,0.0625,4,JDG
1870,2,0.043478260869565216,5,JDG
1880,5,0.1,6,JDG
1890,1,0.019230769230769232,1,JDG
1900,9,0.16666666666666666,11,JDG
1910,4,0.08,6,JDG
1920,11,0.1,21,JDG
1930,20,0.19230769230769232,32,JDG
1940,10,0.10869565217391304,13,JDG
1950,29,0.25,49,JDG
1960,31,0.18674698795180722,44,JDG
1970,41,0.22043010752688172,48,JDG
1980,107,0.34967320261437906,144,JDG
1990,123,0.29009433962264153,190,JDG
